Id,timestamp,LI10002/MonAnalog.PV_Out#Value,YC10001/Valve$Analog.MV#Value,PI12002/MonAnalog.PV_Out#Value,PL1200/CM.siP_Out#Value,PL1100/CM.siP_Out#Value,PI12003/MonAnalog.PV_Out#Value,PDI14014/MonAnalog.PV_Out#Value,YC14001/Valve$Analog.MV#Value,FIC14002/PID.MV#Value,FIC14002/PID.PV_Out#Value,FIC14002/PID.SP#Value,PI14013/MonAnalog.PV_Out#Value,YC14006/Valve$Analog.MV#Value,PDIC14010/PID.MV#Value,PDIC14010/PID.PV_Out#Value,PDIC14010/PID.SP#Value,PI14012/MonAnalog.PV_Out#Value,YC23001/Valve$Analog.MV#Value,YC22001/Valve$Analog.MV#Value,YC21001/Valve$Analog.MV#Value,FIC23002/PID.PV_Out#Value,FIC23002/PID.MV#Value,FIC23002/PID.SP#Value,FIC22002/PID.MV#Value,FIC22002/PID.PV_Out#Value,FIC22002/PID.SP#Value,FIC21002/PID.MV#Value,FIC21002/PID.PV_Out#Value,FIC21002/PID.SP#Value,YS23004/Valve.Ctrl#Value,YS22004/Valve.Ctrl#Value,YS21004/Valve.Ctrl#Value,LIC23002/PID.MV#Value,LIC23002/PID.PV_Out#Value,LIC23002/PID.SP#Value,LIC22002/PID.MV#Value,LIC22002/PID.PV_Out#Value,LIC22002/PID.SP#Value,LIC21002/PID.MV#Value,LIC21002/PID.PV_Out#Value,LIC21002/PID.SP#Value,YC23006/Valve$Analog.MV#Value,YC22006/Valve$Analog.MV#Value,YC21006/Valve$Analog.MV#Value,PL2350/DriveSpeedContr.RbkOut#Value,PL2350/DriveSpeedContr.FbkFwdOut#Value,PL2350/DriveSpeedContr.FbkRevOut#Value,PL2250/DriveSpeedContr.RbkOut#Value,PL2250/DriveSpeedContr.FbkFwdOut#Value,PL2250/DriveSpeedContr.FbkRevOut#Value,PL2150/DriveSpeedContr.RbkOut#Value,PL2150/DriveSpeedContr.FbkFwdOut#Value,PL2150/DriveSpeedContr.FbkRevOut#Value,YS23012/Vlv2WayL.CtrlV0#Value,YS23012/Vlv2WayL.CtrlV1#Value,YS23012/Vlv2WayL.CtrlV2#Value,YS22012/Vlv2WayL.CtrlV0#Value,YS22012/Vlv2WayL.CtrlV1#Value,YS22012/Vlv2WayL.CtrlV2#Value,YS21012/Vlv2WayL.CtrlV0#Value,YS14004/Valve.Ctrl#Value,PIC14007/PID.MV#Value,PIC14007/PID.PV_Out#Value,PIC14007/PID.SP#Value,YC14008/Valve$Analog.Ctrl#Value,PI10003/MonAnalog.PV_Out#Value,YS10004/Valve.Ctrl#Value,DeviationID/DeviationID.PV#Value,YS10008/Valve.Ctrl#Value,YS11004/Valve.Ctrl#Value,YS14010/Valve.Ctrl#Value,YS14011/Valve.Ctrl#Value,YS14003/Valve.Ctrl#Value,YS14005/Valve.Ctrl#Value,FIC33004/FI.PV_Out#Value,YS21012/Vlv2WayL.CtrlV1#Value,YS21012/Vlv2WayL.CtrlV2#Value,SFC_Dreitank_StepNo/CuStepNo.PV#Value
796283,2018-10-10T15:06:03.9181551,117.565948486328,100,0.0567129850387573,2.64756941795349,1.07986116409302,1.64756941795349,96.6934204101563,62.9736289978027,62.9788475036621,1973.90673828125,2000,0.190972208976746,25.9719619750977,25.9719619750977,0.994212985038757,1,1.18576383590698,66.1183013916016,0,70.2671051025391,471.209503173828,66.1183013916016,492.304351806641,0,0,0,70.2671051025391,535.734924316406,536.236938476563,0,0,0,492.304351806641,9.70934581756592,10,0,11.4304828643799,2,536.236938476563,13.4309167861938,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6604290008545,0.197430193424225,0.200000002980232,0,0.00170484650880098,1,1,0,0,0,1,0,0,0,0,0,8
796284,2018-10-10T15:06:04.9181551,117.488754272461,100,0.0549768209457397,2.64409732818604,1.07986116409302,1.64409732818604,96.4326324462891,63.0124664306641,63.0172157287598,1984.17895507813,2000,0.1875,26.0788593292236,26.0788593292236,1.00520825386047,1,1.19270825386047,64.9068145751953,0,70.2671051025391,479.166656494141,64.9068145751953,493.083618164063,0,0,0,70.2671051025391,536.530639648438,536.721618652344,0,0,0,493.083618164063,9.7109375,10,0,11.444806098938,2,536.721618652344,13.434100151062,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5381698608398,0.196028679609299,0.200000002980232,0,0.00172217004001141,1,1,0,0,0,1,0,0,0,0,0,8
796285,2018-10-10T15:06:05.9181551,117.424789428711,100,0.0549768209457397,2.66782402992249,1.07986116409302,1.66782402992249,96.328369140625,63.3442268371582,63.359806060791,1948.05798339844,2000,0.191550970077515,26.1724224090576,26.1724224090576,1.01215267181396,1,1.20601844787598,63.5884246826172,0,70.2671051025391,484.736694335938,63.5884246826172,469.482482910156,0,0,0,70.2671051025391,537.326416015625,536.748718261719,0,0,0,469.482482910156,9.72605609893799,10,0,11.453558921814,2,536.748718261719,13.4460353851318,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4870738983154,0.195027112960815,0.200000002980232,0,0.0017213262617588,1,1,0,0,0,1,0,0,0,0,0,8
796286,2018-10-10T15:06:06.9181551,117.369430541992,100,0.0549768209457397,2.68576383590698,1.07407402992249,1.68576383590698,96.0292053222656,63.6934814453125,63.7127838134766,1935.65368652344,2000,0.192129611968994,26.4412708282471,26.4412708282471,1.03125,1,1.22337961196899,60.8131790161133,0,70.2671051025391,482.928253173828,60.8131790161133,442.778228759766,0,0,0,70.2671051025391,538.483764648438,536.895263671875,0,0,0,442.778228759766,9.74276638031006,10,0,11.459924697876,2,536.895263671875,13.455584526062,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5004272460938,0.195202261209488,0.200000002980232,0,0.00172044453211129,1,1,0,0,0,1,0,0,0,0,0,8
796287,2018-10-10T15:06:07.9181551,117.32746887207,100,0.0572916269302368,2.63252305984497,1.07638895511627,1.63252305984497,95.8518829345703,63.7017784118652,63.7048873901367,1984.4501953125,2000,0.193287014961243,26.4545879364014,26.4545879364014,1.02025473117828,1,1.21354174613953,62.0861358642578,0,70.2671051025391,474.247680664063,62.0861358642578,450.299468994141,0,0.0723379626870155,0,70.2671051025391,540.436889648438,537.07958984375,0,0,0,450.299468994141,9.74037933349609,10,0,11.466290473938,2,537.07958984375,13.464337348938,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.603006362915,0.196911722421646,0.200000002980232,0,0.00172347854822874,1,1,0,0,0,1,0,0,0,0,0,8
796288,2018-10-10T15:06:08.9181551,117.297256469727,100,0.0567129850387573,2.62094902992249,1.07928240299225,1.62094902992249,96.0137939453125,63.5453796386719,63.5436248779297,2009.47839355469,2000,0.197337985038757,26.5549030303955,26.5549030303955,1.02083337306976,1,1.21469902992249,60.8379211425781,0,70.2671051025391,466.001159667969,60.8379211425781,427.742767333984,0,0,0.0723379626870155,70.2671051025391,541.52197265625,537.009704589844,0,0,0,427.742767333984,9.75470161437988,10,0.0723379626870155,11.4782257080078,2,537.009704589844,13.4778642654419,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7374668121338,0.199493438005447,0.200000002980232,0,0.00171357393264771,1,1,0,0,0,1,0,0,0,0,0,8
796289,2018-10-10T15:06:09.9181551,117.281829833984,100,0.0515046119689941,2.62152791023254,1.07465279102325,1.62152791023254,96.0841369628906,63.5694274902344,63.5231323242188,2009.58825683594,2000,0.203125,26.4533843994141,26.4533843994141,1.00578713417053,1,1.20891213417053,63.5596809387207,0,70.2671051025391,458.477996826172,63.5596809387207,452.383392333984,0,0,0.0723379626870155,70.2671051025391,541.087951660156,537.142639160156,0,0,0,452.383392333984,9.74276638031006,10,0.0723379626870155,11.479022026062,2,537.142639160156,13.4874134063721,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8697986602783,0.202820926904678,0.200000002980232,0,0.00171525031328201,1,1,0,0,0,1,0,0,0,0,0,8
796290,2018-10-10T15:06:10.9181551,117.279846191406,100,0.0526620149612427,2.60069441795349,1.07523143291473,1.60069441795349,96.364501953125,63.3433685302734,63.3351783752441,2027.29345703125,2000,0.204861164093018,26.312915802002,26.312915802002,0.991898059844971,1,1.20891213417053,64.7221221923828,0,70.2671051025391,452.329284667969,64.7221221923828,468.576629638672,0,0,0.0723379626870155,70.2671051025391,540.798583984375,537.520202636719,0,0,0,468.576629638672,9.73560428619385,10,0.0723379626870155,11.4869794845581,2,537.520202636719,13.4921875,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2821006774902,0.208118587732315,0.200000002980232,0,0.00172601104713976,1,1,0,0,0,1,0,0,0,0,0,8
796291,2018-10-10T15:06:11.9181551,117.294097900391,100,0.0538194179534912,2.60127305984497,1.07870376110077,1.60127305984497,96.3066101074219,63.2353515625,63.2307243347168,2023.13916015625,2000,0.207754611968994,26.1401824951172,26.1401824951172,0.979745388031006,1,1.19733786582947,64.464599609375,0,70.2671051025391,454.065399169922,64.464599609375,466.21240234375,0,0,0,70.2671051025391,539.496520996094,537.854736328125,0,0,0,466.21240234375,9.73878765106201,10,0,11.4909572601318,2,537.854736328125,13.4977569580078,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.482250213623,0.212557554244995,0.200000002980232,0,0.00173156359232962,1,1,0,0,0,1,0,0,0,0,0,8
796292,2018-10-10T15:06:12.9181551,117.30451965332,100,0.0543981790542603,2.6539351940155,1.078125,1.6539351940155,96.1969909667969,63.2716255187988,63.3568954467773,1979.00158691406,2000,0.209490776062012,26.0582046508789,26.0582046508789,0.979745388031006,1,1.18923616409302,63.8998794555664,0,70.2671051025391,456.597229003906,64.3904266357422,469.524200439453,0,0,0,70.2671051025391,538.266784667969,538.478149414063,0,0,0,469.524200439453,9.73878765106201,10,0,11.494140625,2,538.478149414063,13.4953699111938,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6139392852783,0.215015739202499,0.200000002980232,0,0.00174506986513734,1,1,0,0,0,1,0,0,0,0,0,8
796293,2018-10-10T15:06:13.9181551,117.310699462891,100,0.0555555820465088,2.65509271621704,1.07638895511627,1.65509271621704,96.1441955566406,63.5147590637207,63.519416809082,1976.70483398438,2000,0.208912014961243,26.1219158172607,26.1219158172607,0.991319537162781,1,1.20023155212402,63.8998794555664,0,70.2671051025391,459.418395996094,63.8998794555664,459.910858154297,0,-0.0723379626870155,0,70.2671051025391,538.122131347656,538.644836425781,0,0,0,459.910858154297,9.74594879150391,10,0,11.500506401062,2,538.644836425781,13.5065107345581,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.690767288208,0.215867757797241,0.200000002980232,0,0.00172326271422207,1,1,0,0,0,1,0,0,0,0,0,8
796294,2018-10-10T15:06:14.9181551,117.314590454102,100,0.0549768209457397,2.65162038803101,1.078125,1.65162038803101,95.9420928955078,63.6840858459473,63.6931610107422,1969.75244140625,2000,0.205439805984497,26.2420673370361,26.2420673370361,0.991319537162781,1,1.20023155212402,63.2555847167969,0,70.2671051025391,462.745941162109,63.2555847167969,448.821838378906,0,0,0.0723379626870155,70.2671051025391,539.279541015625,539.055419921875,0,0,0,448.821838378906,9.75390625,10,0.0723379626870155,11.5020980834961,2,539.055419921875,13.5104885101318,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6512718200684,0.214188545942307,0.200000002980232,0,0.00171616999432445,1,1,0,0,0,1,0,0,0,0,0,8
796295,2018-10-10T15:06:15.9181551,117.323379516602,100,0.0584490299224854,2.64872694015503,1.08333337306976,1.64872694015503,95.6225891113281,63.8096542358398,63.8157997131348,1969.27185058594,2000,0.202546358108521,26.317756652832,26.317756652832,1.00925922393799,1,1.21238422393799,63.3401145935059,0,70.2671051025391,465.639465332031,63.3401145935059,456.296600341797,0,0,0.0723379626870155,70.2671051025391,540.219909667969,539.464599609375,0,0,0,456.296600341797,9.75151920318604,10,0.0723379626870155,11.5076675415039,2,539.464599609375,13.5144672393799,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5535831451416,0.210468977689743,0.200000002980232,0,0.00173688214272261,1,1,0,0,0,1,0,0,0,0,0,8
796296,2018-10-10T15:06:16.9181551,117.338012695313,100,0.0590277910232544,2.65219902992249,1.07928240299225,1.65219902992249,95.4322509765625,63.9183349609375,63.9020233154297,1979.53381347656,2000,0.19560182094574,26.4710521697998,26.4710521697998,1.01909720897675,1,1.21469902992249,63.0566673278809,0,70.2671051025391,467.954284667969,63.0566673278809,462.290344238281,0,0,0.0723379626870155,70.2671051025391,540.726257324219,539.707275390625,0,0,0,462.290344238281,9.74992752075195,10,0.0723379626870155,11.5100545883179,2,539.707275390625,13.5216293334961,15,75,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4732818603516,0.206451505422592,0.200000002980232,0,0.00173952057957649,1,1,0,0,0,1,0,0,0,0,0,8
